Name,Link,Date,Category,Downloads,Author,Summary
EEG Database,https://archive.ics.uci.edu/ml/datasets/EEG+Database,1999-10-13,Life,116287,Original Owner: Henri BegleiterNeurodynamics Laboratory State University of New York Health CenterBrooklyn New York Donor: Lester IngberPOB 06440 Sears TowerChicago IL 60606ingber '@' ingber.com http://www.ingber.com/  ,This data arises from a large study to examine EEG correlates of genetic predisposition to alcoholism. It contains measurements from 64 electrodes placed on subject's scalps which were sampled at 256 Hz (3.9-msec epoch) for 1 second.  There were two groups of subjects: alcoholic and control. Each subject was exposed to either a single stimulus (S1) or to two stimuli (S1 and S2) which were pictures of objects chosen from the 1980 Snodgrass and Vanderwart picture set. When two stimuli were shown they were presented in either a matched condition where S1 was identical to S2 or in a non-matched condition where S1 differed from S2.  Shown here are example plots of a control ([Web Link]) and alcoholic ([Web Link]) subject. The plots indicate voltage time and channel and are averaged over 10 trials for the single stimulus condition.  There were 122 subjects and each subject completed 120 trials where different stimuli were shown. The electrode positions were located at standard sites (Standard Electrode Position Nomenclature American Electroencephalographic Association 1990). Zhang et al. (1995) describes in detail the data collection process.  There are three versions of the EEG data set.  1. The Small Data SetThe small data set (smni97_eeg_data.tar.gz) contains data for the 2 subjects alcoholic a_co2a0000364 and control c_co2c0000337. For each of the 3 matching paradigms c_1 (one presentation only) c_m (match to previous presentation) and c_n (no-match to previous presentation) 10 runs are shown.  2.  The Large Data SetThe large data set (SMNI_CMI_TRAIN.tar.gz and SMNI_CMI_TEST.tar.gz) contains data for 10 alcoholic and 10 control subjects with 10 runs per subject per paradigm. The test data used the same 10 alcoholic and 10 control subjects as with the training data but with 10 out-of-sample runs per subject per paradigm.  3. The Full Data SetThis data set contains all 120 trials for 122 subjects. The entire set of data is about 700 MBytes.  NOTE: There are 17 trials with empty files in co2c1000367. Some trials have "err" notices e.g. search/grep for "err" and see "S2 match err" or "S2 nomatch err" etc. 
Activity Recognition from Single Chest-Mounted Accelerometer,https://archive.ics.uci.edu/ml/datasets/Activity+Recognition+from+Single+Chest-Mounted+Accelerometer,2014-03-02,N/A,52082,Uncalibrated Accelerometer Data are collected from 15 participantes performing 7 activities.  The dataset provides challenges for identification and authentication of people using motion patterns.,   --- The dataset collects data from a wearable accelerometer mounted on the chest   --- Sampling frequency of the accelerometer: 52 Hz   --- Accelerometer Data are Uncalibrated   --- Number of Participants: 15   --- Number of Activities: 7   --- Data Format: CSV
Anuran Calls (MFCCs),https://archive.ics.uci.edu/ml/datasets/Anuran+Calls+%28MFCCs%29,2017-02-24,Life,2059,Eng. Juan Gabriel Colonna <juancolonna '@' icomp.ufam.edu.br> Prof. Eduardo Freire Nakamura <nakamura '@' icomp.ufam.edu.br> Prof. Marco A. P. Cristo <marco.cristo '@' gmail.com> Biologist and collaborator Prof. Marcelo Gordo <mgordo '@' ufam.edu.br>Universidade Federal do Amazonas Av. General Rodrigo Octavio JordÃ£o Ramos 1200 - Coroado I Manaus - AM 69067-005 Brasil.,This dataset was used in several classifications tasks related to the challenge of anuran species recognition through their calls. It is a multilabel dataset with three columns of labels. This dataset was created segmenting 60 audio records belonging to 4 different families 8 genus and 10 species. Each audio corresponds to one specimen (an individual frog) the record ID is also included as an extra column. We used the spectral entropy and a binary cluster method to detect audio frames belonging to each syllable. The segmentation and feature extraction were carried out in Matlab. After the segmentation we got 7195 syllables which became instances for train and test the classifier. These records were collected in situ under real noise conditions (the background sound). Some species are from the campus of Federal University of Amazonas Manaus others from Mata AtlÃ¢ntica Brazil and one of them from CÃ³rdoba Argentina. The recordings were stored in wav format with 44.1kHz of sampling frequency and 32bit of resolution which allows us to analyze signals up to 22kHz. From every extracted syllable 22 MFCCs were calculated by using 44 triangular filters. These coefficients were normalized between -1 â‰¤ mfcc â‰¤ 1. The amount of instances per class are: Families: Bufonidae              68      Dendrobatidae         542      Hylidae              2165      Leptodactylidae      4420  Genus:     Adenomera          4150      Ameerega            542      Dendropsophus       310      Hypsiboas          1593      Leptodactylus       270      Osteocephalus       114      Rhinella             68      Scinax              148  Species:     AdenomeraAndre             672      AdenomeraHylaedactâ€¦       3478      Ameeregatrivittata         542      HylaMinuta                 310      HypsiboasCinerascens       472      HypsiboasCordobae         1121      LeptodactylusFuscus        270      OsteocephalusOophaâ€¦        114      Rhinellagranulosa           68      ScinaxRuber                148 
HIGGS,https://archive.ics.uci.edu/ml/datasets/HIGGS,2014-02-12,Physical,62325,Daniel Whiteson daniel '@' uci.edu Assistant Professor Physics & Astronomy Univ. of California Irvine,The data has been produced using Monte Carlo simulations. The first 21 features (columns 2-22) are kinematic properties measured by the particle detectors in the accelerator. The last seven features are functions of the first 21 features; these are high-level features derived by physicists to help discriminate between the two classes. There is an interest in using deep learning methods to obviate the need for physicists to manually develop such features. Benchmark results using Bayesian Decision Trees from a standard physics package and 5-layer neural networks are presented in the original paper. The last 500000 examples are used as a test set.
Movie,https://archive.ics.uci.edu/ml/datasets/Movie,1999-07-07,N/A,118451, Original Owner and Donor Gio Wiederhold Stanford University 650-725-8363 gio '@' cs.stanford.edu ,The data is stored in relational form across several files. The central file (MAIN) is a list of movies each with a unique identifier. These identifiers may change in successive versions. The actors (CAST) for those movies are listed with their roles in a distinct file. More information about individual actors (ACTORS) is in a third file. All directors in MAIN are listed in a fourth file (PEOPLE) with a number of important producers writers and cinematographers. A fifth file (REMAKES) links movies that were copied to a substantial extent from each other. The sixth file (STUDIOS) provides some information about studios shown in MAIN. The original motivation was for database class exercises to replace the boring `manager of the toy-department' queries. Note that the CASTS refering MAIN and ACTORS is logically identical to the inventory file refering to suppliers and assemblies in the the standard bill-of-materials problems. Personal interests caused the database to be made complete for all Hitchcock movies and TV episodes. Related films by type and actor were added gradually. Subsequent research on temporal databases caused date fields (years only) to be added. It allows testing say if the dates-of-work of an ACTOR match the dates of the MAIN films that the CAST relation shows. Object-oriented database features could be tested with fields having multiple and two-level values as documented in DOC. The entries were gradually collected during course work starting about 1975 and are still being updated. Most of the entries were manual. The DOC file lists some of the reference works used. Corrections and additions continue to be appreciated. Detailed descriptions of the fields and their formats is provided in doc.html.  Missing Values: Outside of key fields missing values are common. Their encoding is described in DOC. Sometimes the data seems to be unavailable sometimes it hasn't been entered. Some information as `lived-with' is inherently incomplete. Censored Data: Minor actors are ignored. Dependencies: Every MAIN film must have a director in PEOPLE. About 50 pseudo director names ahve been listed in PEOPLE to allow interesting films to with (yet) unknown directors to be entered. Every CASTS entry must relate to a MAIN film entry. Every ACTOR should appear in some CASTS entry but not vice versa. See DOC for more type information. Other Relevant Information: Films are listed if known with their original language title. An Alt(T: ) field provides English translations where known. Data Format: The current files are in HTML to allow easy parsing to other formats. An XML version is being considered. The approximate file sizes are:DOC .......    50K MAIN ...... 1 145K   11 400 entriesPEOPLE ....   355K    3 290 entriesCASTS ..... 4 340K   46 000 entriesACTORS ....   811K    6 800 entriesREMAKES ...   135K    1 278 entriesSTUDIOS ...    26K      200 entries
FMA: A Dataset For Music Analysis,https://archive.ics.uci.edu/ml/datasets/FMA%3A+A+Dataset+For+Music+Analysis,2017-05-24,Computer,19551,Michaël Defferrard Kirell Benzi Pierre Vandergheynst Xavier Bresson EPFL LTS2.,* Audio track (encoded as mp3) of each of the 106574 tracks. It is on average 10 millions samples per track.* Nine audio features (consisting of 518 attributes) for each of the 106574 tracks.* Given the metadata multiple problems can be explored: recommendation genre recognition artist identification year prediction music annotation unsupervized categorization.* The dataset is split into four sizes: small medium large full.* Please see the paper and the GitHub repository for more information ([Web Link])
Steel Plates Faults,https://archive.ics.uci.edu/ml/datasets/Steel+Plates+Faults,2010-10-26,Physical,50287,Semeion Research Center of Sciences of Communication Via Sersale 117 00128 Rome Italy.www.semeion.it,Type of dependent variables (7 Types of Steel Plates Faults):1.Pastry2.Z_Scratch3.K_Scatch4.Stains5.Dirtiness6.Bumps7.Other_Faults
YouTube Spam Collection,https://archive.ics.uci.edu/ml/datasets/YouTube+Spam+Collection,2017-03-26,Computer,24775,This corpus has been collected using the YouTube Data API v3.,The table below lists the datasets the YouTube video ID the amount of samples in each class and the total number of samples per dataset. Dataset --- YouTube ID -- # Spam - # Ham - TotalPsy ------- 9bZkp7q19f0 --- 175 --- 175 --- 350KatyPerry - CevxZvSJLk8 --- 175 --- 175 --- 350LMFAO ----- KQ6zr6kCPj8 --- 236 --- 202 --- 438Eminem ---- uelHwf8o7_U --- 245 --- 203 --- 448Shakira --- pRpeEdMmmQ0 --- 174 --- 196 --- 370 Note: the chronological order of the comments were kept.
REALDISP Activity Recognition Dataset,https://archive.ics.uci.edu/ml/datasets/REALDISP+Activity+Recognition+Dataset,2014-07-25,Computer,26064,Oresti Banos Department of Computer Architecture and Computer Technology University of Granada oresti '@' ugr.es (oresti.bl '@' gmail.com)Mate Attila Toth Signal Processing Systems TU Eindhoven A.M.Toth '@' tue.nl Oliver Amft Signal Processing Systems TU Eindhoven amft '@' tue.nl ,The REALDISP (REAListic sensor DISPlacement) dataset has been originally collected to investigate the effects of sensor displacement in the activity recognition process in real-world settings. It builds on the concept of ideal-placement self-placement and induced-displacement. The ideal and mutual-displacement conditions represent extreme displacement variants and thus could represent boundary conditions for recognition algorithms. In contrast self-placement reflects a users perception of how sensors could be attached e.g. in a sports or lifestyle application. The dataset includes a wide range of physical activities (warm up cool down and fitness exercises) sensor modalities (acceleration rate of turn magnetic field and quaternions) and participants (17 subjects). Apart from investigating sensor displacement the dataset lend itself for benchmarking activity recognition techniques in ideal conditions. ----------------------------------------------------------------------------------------------------------------------Dataset summary:#Activities: 33 #Sensors: 9#Subjects: 17#Scenarios: 3---------------------------------------------------------------------------------------------------------------------- ACTIVITY SET:A1: Walking  A2: Jogging  A3: Running  A4: Jump up  A5: Jump front & back  A6: Jump sideways  A7: Jump leg/arms open/closed  A8: Jump rope  A9: Trunk twist (arms outstretched)  A10: Trunk twist (elbows bent)  A11: Waist bends forward  A12: Waist rotation  A13: Waist bends (reach foot with opposite hand)  A14: Reach heels backwards  A15: Lateral bend (10_ to the left + 10_ to the right)A16: Lateral bend with arm up (10_ to the left + 10_ to the right) A17: Repetitive forward stretching A18: Upper trunk and lower body opposite twist A19: Lateral elevation of arms A20: Frontal elevation of arms A21: Frontal hand claps A22: Frontal crossing of arms A23: Shoulders high-amplitude rotation A24: Shoulders low-amplitude rotation A25: Arms inner rotation A26: Knees (alternating) to the breast A27: Heels (alternating) to the backside A28: Knees bending (crouching) A29: Knees (alternating) bending forward A30: Rotation on the knees A31: Rowing A32: Elliptical bike A33: Cycling  SENSOR SETUP:Each sensor provides 3D acceleration (accXaccYaccZ) 3D gyro (gyrXgyrYgyrZ) 3D magnetic field orientation (magXmagYmagZ) and 4D quaternions (Q1Q2Q3Q4). The sensors are identified according to the body part on which is placed respectively: S1: left calf (LC)S2: left thigh (LT)S3: right calf (RC)S4: right thigh (RT)S5: back (BACK)S6: left lower arm (LLA)S7: left upper arm (LUA)S8: right lower arm (RLA)S9: right upper arm (RUA) SCENARIOS:The dataset contains information for three different scenarios depending on whether the sensors are positioned on predefined positions or placed by the users themselves.- Ideal-placement or the default scenario. The sensors are positioned by the instructor on predefined locations within each body part. The data stemming from this scenario could be considered as the â€œtraining setâ€ for supervised activity recognition systems.- Self-placement. The user is asked to position a subset of the sensors themselves on the body parts specified by the instructor but without providing any hint on how the sensors must be exactly placed. This scenario is devised to investigate some of the variability that may occur in the day-to-day usage of an activity recognition system involving wearable or self-attached sensors. Normally the self-placement will lead to on-body sensor setups that differ from the ideal-placement. Nevertheless this difference may be minimal if the subject places the sensor close to the ideal position.- Induced-displacement. An intentional mispositioning of sensors using rotations and translations with respect to the ideal placement is introduced by the instructor. One of the key interests of including this last scenario is to investigate how the performance of a certain method degrades as the system drifts far from the ideal setup. A complete and illustrated description (including table of activities sensor setup etc.) of the dataset is provided in the documentation facilitated along with the dataset. Also the papers presented in the section â€œCitation Requestsâ€ provide an insightful description of the dataset and the underlying theory.  
Mushroom,https://archive.ics.uci.edu/ml/datasets/Mushroom,1987-04-27,Life,285197,Origin: Mushroom records drawn from The Audubon Society Field Guide to North American Mushrooms (1981). G. H. Lincoff (Pres.) New York: Alfred A. Knopf Donor:  Jeff Schlimmer (Jeffrey.Schlimmer '@' a.gp.cs.cmu.edu),This data set includes descriptions of hypothetical samples corresponding to 23 species of gilled mushrooms in the Agaricus and Lepiota Family (pp. 500-525).  Each species is identified as definitely edible definitely poisonous or of unknown edibility and not recommended.  This latter class was combined with the poisonous one.  The Guide clearly states that there is no simple rule for determining the edibility of a mushroom; no rule like ``leaflets three let it be'' for Poisonous Oak and Ivy.
Wall-Following Robot Navigation Data,https://archive.ics.uci.edu/ml/datasets/Wall-Following+Robot+Navigation+Data,2010-08-04,Computer,40730,(a) Creators: Ananda Freire Marcus Veloso and Guilherme Barreto Department of Teleinformatics Engineering Federal University of CearÃ¡Fortaleza CearÃ¡ Brazil   (b) Donors of database: Ananda Freire (anandalf '@' gmail.com)Guilherme Barreto (guilherme '@' deti.ufc.br),The provided files comprise three different data sets. The first one contains the raw values of the measurements of all 24 ultrasound sensors and the corresponding class label (see Section 7). Sensor readings are sampled at a rate of 9 samples per second. The second one contains four sensor readings named 'simplified distances' and the corresponding class label (see Section 7). These simplified distances are referred to as the 'front distance' 'left distance' 'right distance' and 'back distance'. They consist respectively of the minimum sensor readings among those within 60 degree arcs located at the front left right and back parts of the robot. The third one contains only the front and left simplified distances and the corresponding class label. It is worth mentioning that the 24 ultrasound readings and the simplified distances were collected at the same time step so each file has the same number of rows (one for each sampling time step). The wall-following task and data gathering were designed to test the hypothesis that this apparently simple navigation task is indeed a non-linearly separable classification task. Thus linear classifiers such as the Perceptron network are not able to learn the task and command the robot around the room without collisions. Nonlinear neural classifiers such as the MLP network are able to learn the task and command the robot successfully without collisions.  If some kind of short-term memory mechanism is provided to the neural classifiers their performances are improved in general. For example if past inputs are provided together with current sensor readings even the Perceptron becomes able to learn the task and command the robot succesfully. If a recurrent neural network such as the Elman network is used to learn the task the resulting dynamical classifier is able to learn the task using less hidden neurons than the MLP network. Files with different number of sensor readings were built in order to evaluate the performance of the classifiers with respect to the number of inputs.
Volcanoes on Venus - JARtool experiment,https://archive.ics.uci.edu/ml/datasets/Volcanoes+on+Venus+-+JARtool+experiment,N/A,Physical,31399,Michael C. BurlMS 126-347 JPL4800 Oak Grove DrivePasadena CA 91109(818) 393-5345Michael.C.Burl '@' jpl.nasa.gov http://www-aig.jpl.nasa.gov/mls/home/burl/,The data was collected by the Magellan spacecraft over an approximately four year period from 1990--1994. The objective of the mission was to obtain global mapping of the surface of Venus using synthetic aperture radar (SAR). A more detailed discussion of the mission and objectives is available at  JPL's Magellan webpage. There are some spatial dependencies. For example background patches from with in a single image are likely to be more similar than background patches taken across different images. In addition to the images there are "ground truth" files that specify the locations of volcanoes within the images. The quotes around "ground truth" are intended as a reminder that there is no absolute ground truth for this data set. No one has been to Venus and the image quality does not permit 100% unambiguous identification of the volcanoes even by human experts. There are labels that provide some measure of subjective uncertainty (1 = definitely a volcano 2 = probably 3 = possibly 4 = only a pit is visible). See reference [Smyth95] for more information on the labeling uncertainty problem. There are also files that specify the exact set of experiments using in the published evaluations of the JARtool system.  The image files are in a format called VIEW. This format consists of two files a binary file with extension .sdt (the image data) and an ascii file with extension .spr (header information). There is a MATLAB utility function included in the data package that can be used to read the data. If you want to use something other than Matlab you are on your own but the format is fairly simple and can be understood by looking at the Matlab code. The labeling files are provided in two forms. The .lxyr files are simple space-separated ascii containing label x-location of center y-location of center and radius. 
SMS Spam Collection,https://archive.ics.uci.edu/ml/datasets/SMS+Spam+Collection,2012-06-22,Computer,119764,Tiago A. Almeida (talmeida  ufscar.br)Department of Computer ScienceFederal University of Sao Carlos (UFSCar)Sorocaba Sao Paulo - Brazil JosÃ© MarÃ­a GÃ³mez Hidalgo (jmgomezh  yahoo.es)R&D Department OptenetLas Rozas Madrid - Spain,This corpus has been collected from free or free for research sources at the Internet: -> A collection of 425 SMS spam messages was manually extracted from the Grumbletext Web site. This is a UK forum in which cell phone users make public claims about SMS spam messages most of them without reporting the very spam message received. The identification of the text of spam messages in the claims is a very hard and time-consuming task and it involved carefully scanning hundreds of web pages. The Grumbletext Web site is: [Web Link].-> A subset of 3375 SMS randomly chosen ham messages of the NUS SMS Corpus (NSC) which is a dataset of about 10000 legitimate messages collected for research at the Department of Computer Science at the National University of Singapore. The messages largely originate from Singaporeans and mostly from students attending the University. These messages were collected from volunteers who were made aware that their contributions were going to be made publicly available. The NUS SMS Corpus is avalaible at: [Web Link].-> A list of 450 SMS ham messages collected from Caroline Tag's PhD Thesis available at [Web Link].-> Finally we have incorporated the SMS Spam Corpus v.0.1 Big. It has 1002 SMS ham messages and 322 spam messages and it is public available at: [Web Link]. This corpus has been used in the following academic researches: [1] GÃ³mez Hidalgo J.M. Cajigas Bringas G. Puertas Sanz E. Carrero GarcÃ­a F. Content Based SMS Spam Filtering. Proceedings of the 2006 ACM Symposium on Document Engineering (ACM DOCENG'06) Amsterdam The Netherlands 10-13 2006. [2] Cormack G. V. GÃ³mez Hidalgo J. M. and Puertas SÃ¡nz E. Feature engineering for mobile (SMS) spam filtering.  Proceedings of the 30th Annual international ACM Conference on Research and Development in information Retrieval (ACM SIGIR'07) New York NY 871-872 2007. [3] Cormack G. V. GÃ³mez Hidalgo J. M. and Puertas SÃ¡nz E. Spam filtering for short messages. Proceedings of the 16th ACM Conference on Information and Knowledge Management (ACM CIKM'07). Lisbon Portugal 313-320 2007.
Energy efficiency,https://archive.ics.uci.edu/ml/datasets/Energy+efficiency,2012-11-30,Computer,141387,The dataset was created by Angeliki Xifara (angxifara '@' gmail.com Civil/Structural Engineer) and was processed by Athanasios Tsanas (tsanasthanasis '@' gmail.com Oxford Centre for Industrial and Applied Mathematics University of Oxford UK).,We perform energy analysis using 12 different building shapes simulated in Ecotect. The buildings differ with respect to the glazing area the glazing area distribution and the orientation amongst other parameters. We simulate various settings as functions of the afore-mentioned characteristics to obtain 768 building shapes. The dataset comprises 768 samples and 8 features aiming to predict two real valued responses. It can also be used as a multi-class classification problem if the response is rounded to the nearest integer.
Facebook Comment Volume Dataset,https://archive.ics.uci.edu/ml/datasets/Facebook+Comment+Volume+Dataset,2016-03-11,N/A,26991,Kamaljot Singh Assistant Professor Lovely Professional University Jalandhar.Kamaljotsingh2009 '@' gmail.com,The Dataset is uploaded in ZIP format. The dataset contains 5 variants of the dataset for the details about the variants and detailed analysis read and cite the research paper  @INPROCEEDINGS{Sing1503:CommentAUTHOR='Kamaljot Singh and Ranjeet Kaur Sandhu and Dinesh Kumar'TITLE='Comment Volume Prediction Using Neural Networks and Decision Trees'BOOKTITLE='IEEE UKSim-AMSS 17th International Conference on Computer Modelling andSimulation UKSim2015 (UKSim2015)'ADDRESS='Cambridge United Kingdom'DAYS=25MONTH=marYEAR=2015KEYWORDS='Neural Networks; RBF Network; Prediction; Facebook; Comments; Data Mining;REP Tree; M5P Trees.'ABSTRACT='The leading treads towards social networking services had drawn massivepublic attention from last one and half decade. The amount of data that isuploaded to these social networking services is increasing day by day. Sothere is massive requirement to study the highly dynamic behavior of userstowards these services. This is a preliminary work to model the userpatterns and to study the effectiveness of machine learning predictivemodeling approaches on leading social networking service Facebook. Wemodeled the user comment patters over the posts on Facebook Pages andpredicted that how many comments a post is expected to receive in next Hhrs. In order to automate the process we developed a software prototypeconsisting of the crawler Information extractor information processor andknowledge discovery module. We used Neural Networks and Decision Treespredictive modeling techniques on different dataset variants and evaluatedthem under Hits(at)10 (custom measure) Area Under Curve Evaluation Timeand Mean Absolute error evaluation metrics. We concluded that the Decisiontrees performed better than the Neural Networks under light of allevaluation metrics.'}   The research paper is also available at conference website: uksim.info/uksim2015/[Web Link]     another extended paper is that is to be published soon is : @ARTICLE{Sing1601:FacebookAUTHOR='Kamaljot Singh'TITLE='Facebook Comment Volume Prediction'JOURNAL='International Journal of Simulation- Systems Science and Technology-IJSSST V16'ADDRESS='Cambridge United Kingdom'DAYS=30MONTH=janYEAR=2016KEYWORDS='Neural Networks; RBF Network; Prediction; Facebook; Comments; Data Mining;REP Tree; M5P Trees.'ABSTRACT='The amount of data that is uploaded to social networking services isincreasing day by day. So their is massive requirement to study the highlydynamic behavior of users towards these services. This work is to model theuser patterns and to study the effectiveness of machine learning predictivemodeling approaches on leading social networking service Facebook. Wemodeled the user comment patters over the posts on Facebook Pages andpredicted that how many comments a post is expected to receive in next Hhrs. To automate the process we developed a software prototype consistingof the crawler Information extractor information processor and knowledgediscovery module. We used Neural Networks and Decision Trees predictivemodeling techniques on different data-set variants and evaluated them underHits(at)10 Area Under Curve Evaluation Time and M.A.E metrics. Weconcluded that the Decision trees performed better than the Neural Networksunder light of all metrics.'}  this above paper will be freely available after publication at www.ijssst.info
HIV-1 protease cleavage,https://archive.ics.uci.edu/ml/datasets/HIV-1+protease+cleavage,2015-04-25,Life,29729,Thorsteinn Rögnvaldsson denni63 '@' gmail.com Halmstad University.,Past Usage:   (a) Rögnvaldsson You and Garwicz (2015) 'State of the art prediction of HIV-1 protease        cleavage sites' Bioinformatics vol 31 (8) pp. 1204-1210.       - Discusses the characteristics of the four data sets.       - It is shown that a linear SVM with standard orthogonal encoding is the best         predictor when tested across data sets. The AUC (Area Under the ROC Curve)         values are listed below:               Test data  746         1625        Schilling   Impens   Train data   746                   -           0.982       0.870       0.833   1625                  0.981       -           0.855       0.811   Schilling             0.933       0.935       -           0.911   Impens                0.902       0.894       0.929       -   The 746 and 1625 data sets share many patterns.    (b) Kontijevskis Wikberg and Komorowski (2007) 'Computational Proteomics Analysis of HIV-1 Protease        Interactome'. Proteins: Structure Function and Bioinformatics 68 305â€“312.        Introduced the 1625 data set and used rough set theory on it.       Note: the 1625 data set used by Kontijevskis et al. is not identical to the 1625 data       set here there is one octamer that has a different label (same octamer as for the       746 data set).   (c) You Garwicz and Rögnvaldsson (2005) 'Comprehensive Bioinformatic Analysis of the Specificity        of Human Immunodeficiency Virus Type 1 Protease'. Journal of Virology 79 12477â€“12486.        Introduced the 746 data set and explored linear classifiers plus representations       based on amino acid properties.       Note: the 746 data set used by You et al. is not identical to the 746 data       set here there is one octamer that has a different label (same octamer as for the       1625 data set).Other relevant information   The data sets have appeared in earlier publications (see references in Rögnvaldsson et al. 2015).    However corrections have been made to them here.    Details on references where data has been collected are provided for the 746 and the 1625 data set.    The origins of the Schilling data and the Impens data are described in the paper Rögnvaldsson et al. 2015.
Airfoil Self-Noise,https://archive.ics.uci.edu/ml/datasets/Airfoil+Self-Noise,2014-03-04,Physical,53544,Provide the names email addresses institutions and other contact information of the donors and creators of the data set.Donor: Dr Roberto Lopezrobertolopez '@' intelnics.com Intelnics  Creators:Thomas F. Brooks D. Stuart Pope and Michael A. MarcoliniNASA,The NASA data set comprises different size NACA 0012 airfoils at various wind tunnel speeds and angles of attack. The span of the airfoil and the observer position were the same in all of the experiments. 
Chronic_Kidney_Disease,https://archive.ics.uci.edu/ml/datasets/Chronic_Kidney_Disease,2015-07-03,N/A,68699, Source:  Dr.P.Soundarapandian.M.D.D.M(Senior Consultant Nephrologist) Apollo  Hospitals ManagiriMadurai Main Road KaraikudiTamilnaduIndia.  Creator: L.Jerlin Rubini(Research Scholar)Alagappa UniversityEmailId   :jel.jerlin '@' gmail.com ContactNo :+91-9597231281  Guided by: Dr.P.Eswaran Assistant ProfessorDepartment of Computer Science and EngineeringAlagappa UniversityKaraikudiTamilnaduIndia.Emailid:eswaranperumal '@' gmail.com,We use the following representation to collect the dataset                        age-agebp-blood pressuresg-specific gravityal-   albuminsu-sugarrbc-red blood cellspc-pus cellpcc-pus cell clumpsba-bacteriabgr-blood glucose randombu-blood ureasc-serum creatininesod-sodiumpot-potassiumhemo-hemoglobinpcv-packed cell volumewc-white blood cell countrc-red blood cell counthtn-hypertensiondm-diabetes mellituscad-coronary artery diseaseappet-appetitepe-pedal edemaane-anemiaclass-class
Anonymous Microsoft Web Data,https://archive.ics.uci.edu/ml/datasets/Anonymous+Microsoft+Web+Data,1998-11-01,Computer,117280,Creators:  Jack S. Breese David Heckerman Carl M. KadieMicrosoft Research Redmond WA 98052-6399 USAbreese '@' microsoft.com heckerma '@' microsoft.com carlk '@' microsoft.com  Donors: Breese: Heckerman & Kadie,We created the data by sampling and processing the www.microsoft.com logs. The data records the use of www.microsoft.com by 38000 anonymous randomly-selected users. For each user the data lists all the areas of the web site (Vroots) that user visited in a one week timeframe. Users are identified only by a sequential number for example User #14988 User #14989 etc. The file contains no personally identifiable information. The 294 Vroots are identified by their title (e.g. "NetShow for PowerPoint") and URL (e.g. "/stream"). The data comes from one week in February 1998.
Pseudo Periodic Synthetic Time Series,https://archive.ics.uci.edu/ml/datasets/Pseudo+Periodic+Synthetic+Time+Series,1999-02-08,N/A,30388,Eamonn J. Keogh and Michael J. PazzaniDepartment of Information and Computer ScienceUniversity of California Irvine California 92697 USAeamonn '@' ics.uci.edu pazzani '@' ics.uci.edu ,This data set is designed for testing indexing schemes in time series databases. It is a much larger dataset than has been used in any published study (That we are currently aware of). It contains one million data points. The data has been split into 10 sections to facilitate testing (see below). We recommend building the index with 9 of the 100000-datapoint sections and randomly extracting a query shape from the 10th section. (Some previously published work seems to have used queries that were also used to build the indexing structure. This will produce optimistic results) The data are interesting because they have structure at different resolutions. Each of the 10 sections where generated by independent invocations of the function: (see equation.gif) Where rand(x) produces a random integer between zero and x. The data appears highly periodic but never exactly repeats itself. This feature is designed to challenge the indexing structure. The time series are ploted here: (ts1-5.gif) (ts6-10.gif)
Amazon Access Samples,https://archive.ics.uci.edu/ml/datasets/Amazon+Access+Samples,2011-09-13,Business,139112,Dataset creator and donator: Ken Montanez email: kenmonta[at]cal.berkeley.edu institution: Information Security Amazon Corp.,This is a sparse data set less than 10% of the attributes are used for each sample. The link is to a '*.tgz' file which contains two files:[amzn-anon-access-samples-2.0.csv] this file contains the access for users[amzn-anon-access-samples-history-2.0.csv] this file contains the access history for a given user
