,Algorithm,Anonymised Labels,Author,Column Name,Column Type,Description,File type,Image dimension,Keywords,License,No Columns,No Rows,Number of Downloads,Number of Views,Size,Summary,Title,URL,Updated
255,[Classification ],,"Provide the names, email addresses, institutions, and other contact information of the donors and creators of the data set. Marek Sikora^{1,2} (marek.sikora '@' polsl.pl), Lukasz Wrobel^{1} (lukasz.wrobel '@' polsl.pl)(1) Institute of Computer Science, Silesian University of Technology, 44-100 Gliwice, Poland(2) Institute of Innovative Technologies EMAG, 40-189 Katowice, Poland",,Multivariate ,"Mining activity was and is always connected with the occurrence of dangers which are commonly called mining hazards. A special case of such threat is a seismic hazard which frequently occurs in many underground mines. Seismic hazard is the hardest detectable and predictable of natural hazards and in this respect it is comparable to an earthquake. More and more advanced seismic and seismoacoustic monitoring systems allow a better understanding rock mass processes and definition of seismic hazard prediction methods. Accuracy of so far created methods is however far from perfect. Complexity of seismic processes and big disproportion between the number of low-energy seismic events and the number of high-energy phenomena (e.g. > 10^4J) causes the statistical techniques to be insufficient to predict seismic hazard. Therefore, it is essential to search for new opportunities of better hazard prediction, also using machine learning methods. In seismic hazard assessment data clustering techniques can be applied (Lesniak A., Isakow Z.: Space-time clustering of seismic events and hazard assessment in the Zabrze-Bielszowice coal mine, Poland. Int. Journal of Rock Mechanics and Mining Sciences, 46(5), 2009, 918-928), and for prediction of seismic tremors artificial neural networks are used (Kabiesz, J.: Effect of the form of data on the quality of mine tremors hazard forecasting using neural networks. Geotechnical and Geological Engineering, 24(5), 2005, 1131-1147). In the majority of applications, the results obtained by mentioned methods are reported in the form of two states which are interpreted as 'hazardous' and 'non-hazardous'. Unbalanced distribution of positive ('hazardous state') and negative ('non-hazardous state') examples is a serious problem in seismic hazard prediction. Currently used methods are still insufficient to achieve good sensitivity and specificity of predictions. In the paper (Bukowska M.: The probability of rockburst occurrence in the Upper Silesian Coal Basin area dependent on natural mining conditions. Journal of Mining Sciences, 42(6), 2006, 570-577) a number of factors having an effect on seismic hazard occurrence was proposed, among other factors, the occurrence of tremors with energy > 10^4J was listed. The task of seismic prediction can be defined in different ways, but the main aim of all seismic hazard assessment methods is to predict (with given precision relating to time and date) of increased seismic activity which can cause a rockburst. In the data set each row contains a summary statement about seismic activity in the rock mass within one shift (8 hours). If decision attribute has the value 1, then in the next shift any seismic bump with an energy higher than 10^4 J was registered. That task of hazards prediction bases on the relationship between the energy of recorded tremors and seismoacoustic activity with the possibility of rockburst occurrence. Hence, such hazard prognosis is not connected with accurate rockburst prediction. Moreover, with the information about the possibility of hazardous situation occurrence, an appropriate supervision service can reduce a risk of rockburst (e.g. by distressing shooting) or withdraw workers from the threatened area. Good prediction of increased seismic activity is therefore a matter of great practical importance.   The presented data set is characterized by unbalanced distribution of positive and negative examples. In the data set there are only 170 positive examples representing class 1.",,,Other,,19,2584,,36887,,"The data describe the problem of high energy (higher than 10^4 J) seismic bumps forecasting in a coal 
mine. Data come from two of longwalls located in a Polish coal mine.",seismic-bumps,https://archive.ics.uci.edu/ml/datasets/seismic-bumps,2013
256,[Classification ],,"Owner of database: Volker Lohweg (University of Applied Sciences, Ostwestfalen-Lippe, volker.lohweg '@' hs-owl.de)Donor of database: Helene DÃ¶rksen (University of Applied Sciences, Ostwestfalen-Lippe, helene.doerksen '@' hs-owl.de)Date received: August, 2012",,Multivariate ,"Data were extracted from images that were taken from genuine and forged banknote-like specimens.  For digitization, an industrial camera usually used for print inspection was used. The final images have 400x 400 pixels. Due to the object lens and distance to the investigated object gray-scale pictures with a resolution of about 660 dpi were gained. Wavelet Transform tool were used to extract features from images.  ",,,Computer,,5,1372,,107175,,Data were extracted from images that were taken for the evaluation of an authentication procedure for banknotes.,banknote authentication,https://archive.ics.uci.edu/ml/datasets/banknote+authentication,2013
257,[Classification ],,"-- Creator: TopCoder, Inc.-- Released under Apache License, Version 2.0http://www.apache.org/licenses/LICENSE-2.0.html",,Domain-Theory ,"USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder   Problem: Patent Labeling",,,Other,,5,306,,22090,,Data used for USPTO Algorithm Competition. Contains drawing pages from US patents with manually labeled figure and part labels.,"USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder    Problem: Pat",https://archive.ics.uci.edu/ml/datasets/USPTO+Algorithm+Challenge%2C+run+by+NASA-Harvard+Tournament+Lab+and+TopCoder++++Problem%3A+Pat,2013
258,"[Classification,  Clustering ]",," Omid Madani , madani '@' google.com, Google Inc.",,"Multivariate, Text ","Please see the README for the details on the data organization, and so on.",,,Computer,,1000000,120000,,84818,,"This dataset contains about 120k instances, each described by 13 feature types, with class information, specially useful for exploring multiview topics (cotraining, ensembles, clustering,..).",YouTube Multiview Video Games Dataset,https://archive.ics.uci.edu/ml/datasets/YouTube+Multiview+Video+Games+Dataset,2013
259,"[Classification,  Regression,  Clustering,  Causa ]",,"Creators: Alexander Vergara (vergara '@' ucsd.edu) BioCircutis Institute University of California San Diego San Diego, California, USA Donors of the Dataset:	Alexander Vergara (vergara '@' ucsd.edu) Jordi Fonollosa (fonollosa '@'ucsd.edu)Irene Rodriguez-Lujan (irrodriguezlujan '@' ucsd.edu)Ramon Huerta (rhuerta '@' ucsd.edu) ",,"Multivariate, Time-Series ","This data set contains 13,910 measurements from 16 chemical sensors exposed to 6 gases at different concentration levels. This dataset is an extension of the Gas Sensor Array Drift Dataset ([Web Link]), providing now the information about the concentration level at which the sensors were exposed for each measurement. The primary purpose of making this dataset freely accessible on-line is to provide an extensive dataset to the sensor and artificial intelligence research communities to develop and test strategies to solve a wide variety of tasks, including sensor drift, classification, regression, among others.  The dataset can be used exclusively for research purposes. Commercial purposes are fully excluded. Citation of both Vergara et al. 'Chemical gas sensor drift compensation using classifier ensembles' and Rodriguez-Lujan et al. â€œOn the calibration of sensor arrays for pattern recognition using the minimal number of experimentsâ€ is required (see below). The dataset was gathered during the period of January 2008 to February 2011 (36 months) in a gas delivery platform facility situated at the ChemoSignals Laboratory in the BioCircuits Institute, University of California San Diego. The measurement system platform provides versatility for obtaining the desired concentrations of the chemical substances of interest with high accuracy and in a highly reproducible manner, minimizing thereby the common mistakes caused by human intervention and making it possible to exclusively concentrate on the chemical sensors. See reference 1 for more details on the experimental setup.  The resulting dataset comprises recordings from six distinct pure gaseous substances, namely Ammonia, Acetaldehyde, Acetone, Ethylene, Ethanol, and Toluene, dosed at a wide variety of concentration levels in the intervals (50,1000), (5,500), (12,1000), (10,300), (10,600), and (10,100) ppmv, respectively.",,,Computer,,129,13910,,43022,,This archive contains 13910 measurements from 16 chemical sensors exposed to 6 different gases at various concentration levels.,Gas Sensor Array Drift Dataset at Different Concentrations,https://archive.ics.uci.edu/ml/datasets/Gas+Sensor+Array+Drift+Dataset+at+Different+Concentrations,2013
260,"[Classification,  Clustering ]",,"Francisco Javier OrdÃ³Ã±ez, Carlos III University of Madrid, fordonez '@' inf.uc3m.es",,"Multivariate, Sequential, Time-Series ","This dataset comprises information regarding the ADLs performed by two users on a daily basis in their own homes. This dataset is composed by two instances of data, each one corresponding to a different user and summing up to 35 days of fully labelled data. Each instance of the dataset is described by three text files, namely: description, sensors events (features), activities of the daily living (labels). Sensor events were recorded using a wireless sensor network and data were labelled manually.",,,Computer,, ,2747,,60595,,"This dataset comprises information regarding the ADLs performed by two users on a daily basis in their 
own homes.  ",Activities of Daily Living (ADLs) Recognition Using Binary Sensors,https://archive.ics.uci.edu/ml/datasets/Activities+of+Daily+Living+%28ADLs%29+Recognition+Using+Binary+Sensors,2013
261,[Regression ],,"   -- Creators: Mark Blair, Joe Thompson, Andrew Henrey, Bill Chen     -- Mark Blair: Department of Psychology; Simon Fraser University; Burnaby;          8888 University Drive; mblair '@' sfu.ca)      -- Date: September, 20, 2013",,Multivariate ,"   -- We aggregated screen movements into screen-fixations using a Salvucci & Goldberg (2000) dispersion-threshold algorithm, and defined Perception Action Cycles (PACs) as fixations with at least one action.   -- Time is recorded in terms of timestamps in the StarCraft 2 replay file. When the game is played on 'faster', 1 real-time second is equivalent to roughly 88.5 timestamps.   -- List of possible game actions is discussed in Thompson, Blair, Chen, & Henrey (2013)",,,Game,,20,3395,,40733,,"This data was used in Thompson et al. (2013). A list of possible game actions is discussed in Thompson, Blair, Chen, & Henrey (2013).",SkillCraft1 Master Table Dataset,https://archive.ics.uci.edu/ml/datasets/SkillCraft1+Master+Table+Dataset,2013
262,[Classification ],,"Wallace Ugulino (wugulino '@' inf.puc-rio.br), Pontifical Catholic University of Rio de Janeiro (Brazil).Eduardo Velloso (e.velloso '@' lancaster.ac.uk), Lancaster University - UK.",,Multivariate ,"Velloso, E.; Bulling, A.; Gellersen, H.; Ugulino, W.; Fuks, H. Qualitative Activity Recognition of Weight Lifting Exercises. Proceedings of 4th International Conference in Cooperation with SIGCHI (Augmented Human '13) . Stuttgart, Germany: ACM SIGCHI, 2013.Read more: [Web Link]#ixzz2lZizjhaF",,,Physical,,152,39242,,27863,,Six young health subjects were asked to perform 5 variations of the biceps curl weight lifting exercise. One of the variations is the one predicted by the health professional.,Weight Lifting Exercises monitored with Inertial Measurement Units,https://archive.ics.uci.edu/ml/datasets/Weight+Lifting+Exercises+monitored+with+Inertial+Measurement+Units,2013
263,[Regression ],,"Dr. Francisco Zamora-Martinez, Pablo Romeu-Guallart, Dr. Juan Pardo.francisco.zamora '@' uch.ceu.es Embedded Systems and Artificial Intelligence (ESAI) research groupDep. de Ciencias FÃ­sicas, MatemÃ¡ticas y de la ComputaciÃ³nUniversidad CEU Cardenal Herrera",,"Multivariate, Sequential, Time-Series, Text ","The dataset could contain missing values. The data was sampled every minute, computing and uploading it smoothed with 15 minute means. The header of the data file is a commentary (begins with #) indicating which data is stored at which column (in Spanish). The data is time information is in UTC.",,,Computer,,24,4137,,99374,,This dataset is collected from a monitor system mounted in a domotic house. It corresponds to approximately 40 days of monitoring data.,SML2010,https://archive.ics.uci.edu/ml/datasets/SML2010,2014
264,[Regression ],,"Hadi Fanaee-T Laboratory of Artificial Intelligence and Decision Support (LIAAD), University of PortoINESC Porto, Campus da FEUPRua Dr. Roberto Frias, 3784200 - 465 Porto, Portugal Original Source: http://capitalbikeshare.com/system-data Weather Information: http://www.freemeteo.com Holiday Schedule: http://dchr.dc.gov/page/holiday-schedule",,Univariate ,"Bike sharing systems are new generation of traditional bike rentals where whole process from membership, rental and return back has become automatic. Through these systems, user is able to easily rent a bike from a particular position and return back at another position. Currently, there are about over 500 bike-sharing programs around the world which is composed of over 500 thousands bicycles. Today, there exists great interest in these systems due to their important role in traffic, environmental and health issues.  Apart from interesting real world applications of bike sharing systems, the characteristics of data being generated by these systems make them attractive for the research. Opposed to other transport services such as bus or subway, the duration of travel, departure and arrival position is explicitly recorded in these systems. This feature turns bike sharing system into a virtual sensor network that can be used for sensing mobility in the city. Hence, it is expected that most of important events in the city could be detected via monitoring these data.",,,Social,,16,17389,,210906,,This dataset contains the hourly and daily count of rental bikes between years 2011 and 2012 in Capital bikeshare system with the corresponding weather and seasonal information.,Bike Sharing Dataset,https://archive.ics.uci.edu/ml/datasets/Bike+Sharing+Dataset,2013
265,[ ],,"François Kawala (1,2) Ahlame Douzal (1) Eric Gaussier (1) Eustache Diemert (2) Institutions :(1) Université Joseph Fourier (Grenoble I) - Laboratoire d'informatique de Grenoble (LIG) - Equipe AMA(2) TechMediaNetwork - www.techmedianetwork.comCorresponding author:François Kawala : francois.kawala '@' imag.fr / fkawala '@' techmedianetwork.com",,"Multivariate, Sequential, Time-Series ",See files and/or [Web Link],,,Computer,,35,51,,29669,,The data from Twitter was collected during 360 consecutive days. It was done by querying 1497 English keywords sampled from Wikipedia. This dataset is proposed in a Learning to rank setting.,Predict keywords activities in a online social media,https://archive.ics.uci.edu/ml/datasets/Predict+keywords+activities+in+a+online+social+media,2013
266,[Classification ],,"Creators: Marek Lubicz (1), Konrad Pawelczyk (2), Adam Rzechonek (2), Jerzy Kolodziej (2)  -- (1) Wroclaw University of Technology, wybrzeze Wyspianskiego 27, 50-370, Wroclaw, Poland  -- (2) Wroclaw Medical University, wybrzeze L. Pasteura 1, 50-367 Wroclaw, Poland Donor: Maciej Zieba (maciej.zieba '@' pwr.wroc.pl), Jakub M. Tomczak (jakub.tomczak '@' pwr.wroc.pl), (+48) 71 320 44 53    Date: November, 2013",,Multivariate ,"The data was collected retrospectively at Wroclaw Thoracic Surgery Centre for patients who underwent major lung resections for primary lung cancer in the years 2007â€“2011. The Centre is associated with the Department of Thoracic Surgery of the Medical University of Wroclaw and Lower-Silesian Centre for Pulmonary Diseases, Poland, while the research database constitutes a part of the National Lung Cancer Registry, administered by the Institute of Tuberculosis and Pulmonary Diseases in Warsaw, Poland.",,,Life,,17,470,,57744,,"The data is dedicated to classification problem related to the post-operative life expectancy in the lung cancer patients: class 1 - death within one year after surgery, class 2 - survival.",Thoracic Surgery Data,https://archive.ics.uci.edu/ml/datasets/Thoracic+Surgery+Data,2013
267,[ ],,"Samples obtained with the aid of:BatallÃ³n de sanidad (BASAN)  Universidad Militar Nueva Granada  â€“ BogotÃ¡ (samples July 2012).Carrera 7 No 52-48, BogotÃ¡.TecnoParque SENA nodo Manizales (samples march - july 2013).Km 10 route to Magdalena, Manizales.Ph.D Oscar Fernando Aviles Sanchez       oscfer '@' gmail.comUniversidad MIlitar Nueva GranadaPh.D Jose Luis Rodriguez Sotelo              jdw.siul '@' gmail.comMg. Marcelo Herrera Gonzales                 marhego '@' gmail.comMg. Gustavo Adolfo Martínez Hernandez   gamhet2 '@' gmail.comUniversidad Autonoma de Manizales",,"Multivariate, Time-Series ","2.	Information database: 2.1.	Protocol:22 male subjects , 11 with different knee abnormalities previously diagnosed by a professional. They undergo three movements to analyze the behavior associated with the knee muscle , gait , leg extension from a sitting position , and flexion of the leg up. The acquisition process was conducted with 4 electrodes ( Vastus Medialis , semitendinosus , biceps femoris and rectus femoris ) and the goniometer in the knee .2.2.	InstrumentationDatalog equipment was used MWX8 by Biometrics of 8 digital channels and 4 analog channels , of which 4 for sampling were used SEMG and 1 for goniometry, these data were acquired directly to the computer MWX8 internal storage with microSD card and transmitted in Real-time Datalog software through bluetooth adapter , 14-bit resolution and sampling frequency of 1000Hz .2.3.	Data configuration:The total number of electrodes is 4, corresponding to the time series one for each channel (1 to 4). Each series contains ~ 5 shares or motion repetitions for each subject.",,,Computer,,5,132,,29099,,"3 different exercises: sitting, standing and walking in the muscles: biceps femoris, vastus medialis, rectus femoris and semitendinosus addition to goniometry in the exercises.",EMG dataset in Lower Limb,https://archive.ics.uci.edu/ml/datasets/EMG+dataset+in+Lower+Limb,2014
268,[Classification ],,"Daniel Whiteson daniel '@' uci.edu, Assistant Professor, Physics & Astronomy, Univ. of California Irvine",, ,"Provide all relevant informatioThe data has been produced using Monte Carlo simulations. The first 8 features are kinematic properties measured by the particle detectors in the accelerator. The last ten features are functions of the first 8 features; these are high-level features derived by physicists to help discriminate between the two classes. There is an interest in using deep learning methods to obviate the need for physicists to manually develop such features. Benchmark results using Bayesian Decision Trees from a standard physics package and 5-layer neural networks and the dropout algorithm are presented in the original paper. The last 500,000 examples are used as a test set.n about your data set.",,,Physical,,18,5000000,,43400,,This is a classification problem to distinguish between a signal process which produces supersymmetric particles and a background process which does not.,SUSY,https://archive.ics.uci.edu/ml/datasets/SUSY,2014
269,[Classification ],,"Daniel Whiteson daniel '@' uci.edu, Assistant Professor, Physics & Astronomy, Univ. of California Irvine",, ,"The data has been produced using Monte Carlo simulations. The first 21 features (columns 2-22) are kinematic properties measured by the particle detectors in the accelerator. The last seven features are functions of the first 21 features; these are high-level features derived by physicists to help discriminate between the two classes. There is an interest in using deep learning methods to obviate the need for physicists to manually develop such features. Benchmark results using Bayesian Decision Trees from a standard physics package and 5-layer neural networks are presented in the original paper. The last 500,000 examples are used as a test set.",,,Physical,,28,11000000,,72532,,This is a classification problem to distinguish between a signal process which produces Higgs bosons and a background process which does not. ,HIGGS,https://archive.ics.uci.edu/ml/datasets/HIGGS,2014
270,[Classification ],,Source Information    -- Creator      :  Mr.A.Martin(jayamartin '@' yahoo.com)                          Mr.J.Uthayakumar (uthayakumar17691 '@' gmail.com)                          Mr.M.Nadarajan(nadaraj.muthuvel '@' gmail.com)    -- Guided By    :  Dr.V.Prasanna Venkatesan    -- Institution  :  Sri Manakula Vinayagar Engineering College and Pondicherry University    -- Country      :  India    -- Date         :  February 2014,,Multivariate ,"The parameters which we used for collecting the dataset is referred from the paper 'The discovery of expertsâ€™ decision rules from qualitative bankruptcy data using genetic algorithms' by Myoung-Jong Kim*, Ingoo Han.",,,Computer,,7,250,,47251,,Predict the Bankruptcy from Qualitative parameters from experts.,Qualitative_Bankruptcy,https://archive.ics.uci.edu/ml/datasets/Qualitative_Bankruptcy,2014
271,[Classification ],,The dataset was created by Athanasios Tsanas (tsanasthanasis '@' gmail.com) of the University of Oxford.,,Multivariate ,"The original paper demonstrated that it is possible to correctly replicate the experts' binary assessment with approximately 90% accuracy using both 10-fold cross-validation and leave-one-subject-out validation. We experimented with both random forests and support vector machines, using standard approaches for optimizing the SVM's hyperparameters. It will be interesting if researchers can improve on this finding using advanced machine learning tools. Details for the dataset can be found on the following paper.A. Tsanas, M.A. Little, C. Fox, L.O. Ramig: â€œObjective automatic assessment of rehabilitative speech treatment in Parkinsonâ€™s diseaseâ€, IEEE Transactions on Neural Systems and Rehabilitation Engineering, Vol. 22, pp. 181-190, January 2014 A freely available preprint is availabe from the first author's website.",,,Life,,309,126,,22057,,"126 samples from 14 participants, 309 features. Aim: assess whether voice rehabilitation treatment lead to phonations considered 'acceptable' or 'unacceptable' (binary class classification problem).",LSVT Voice Rehabilitation,https://archive.ics.uci.edu/ml/datasets/LSVT+Voice+Rehabilitation,2014
272,"[Classification,  Clustering ]",,"Barbara Bruno, Fulvio Mastrogiovanni, Antonio SgorbissaLaboratorium - Laboratory for Ambient Intelligence and Mobile RoboticsDIBRIS, University of Genova,via Opera Pia 13, 16145, Genova, Italia (IT)",,"Multivariate, Time-Series ","The Dataset for ADL Recognition with Wrist-worn Accelerometer is a public collection of labelled accelerometer data recordings to be used for the creation and validation of acceleration models of simple ADL. The Dataset is composed of the recordings of 14 simple ADL (brush_teeth, climb_stairs, comb_hair, descend_stairs, drink_glass, eat_meat, eat_soup, getup_bed, liedown_bed, pour_water, sitdown_chair, standup_chair, use_telephone, walk) perfomed by a total of 16 volunteers. The data are collected by a single tri-axial accelerometer attached to the right-wrist of the volunteer. Accelerometer specifications are detailed in the file MANUAL.TXT inside the Dataset folder. Detailed documentation about the dataset is provided in the files README.TXT and MANUAL.TXT inside the Dataset folder.",,,Computer,,3, ,,44295,,Recordings of 16 volunteers performing 14 Activities of Daily Living (ADL) while carrying a single wrist-worn tri-axial accelerometer.,Dataset for ADL Recognition with Wrist-worn Accelerometer,https://archive.ics.uci.edu/ml/datasets/Dataset+for+ADL+Recognition+with+Wrist-worn+Accelerometer,2014
273,[Classification ],,"Brian Johnson;Institute for Global Environmental Strategies;2108-11 Kamiyamaguchi, Hayama, Kanagawa,240-0115 Japan;Email: Johnson '@' iges.or.jp ",,Multivariate ,"This data set contains some training and testing data from a remote sensing study by Johnson et al. (2013) that involved detecting diseased trees in Quickbird imagery. There are few training samples for the 'diseased trees' class (74) and many for 'other land cover' class (4265).  The data set consists of image segments, generated by segmenting the pansharpened image. The segments contain spectral information from the Quickbird multispectral image bands and texture information from the panchromatic (Pan) image band. The testing data set is for the row with â€œSegmentation scale 15â€ segments and â€œoriginal multi-spectral imageâ€ Spectral information in Table 2 of the reference (i.e. row 5). Please see the reference below for more information on the data set, and please cite the reference if you use this data set. Enjoy! Filestraining.csv: training data set (4339 image segments)testing.csv: testing data set (500 image segments)",,,Life,,6,4889,,37781,,"High-resolution Remote Sensing data set (Quickbird). Small number of training samples of diseased trees, large number for other land cover. Testing data set from stratified random sample of image.",Wilt,https://archive.ics.uci.edu/ml/datasets/Wilt,2014
274,"[Classification,  Clustering ]",,"Pierluigi Casale, Computer Vision Center, Barcelona, Spain. Email: plcasale '@' ieee.org",,"Univariate, Sequential, Time-Series ",The dataset collects data from an Android smartphone positioned in the chest pocket. Accelerometer Data are collected from 22 participants walking in the wild over a predefined path. The dataset is intended for Activity Recognition research purposes. It provides challenges for identification and authentication of people using motion patterns.   --- Sampling frequency of the accelerometer: DELAY_FASTEST with network connections disabled   --- Number of Participants: 22   --- Data Format: CSV,,,Other,, , ,,43395,,"The dataset collects data from an Android smartphone positioned in the chest pocket from 22 participants walking in the wild over a predefined path. 
",User Identification From Walking Activity,https://archive.ics.uci.edu/ml/datasets/User+Identification+From+Walking+Activity,2014
275,"[Classification,  Clustering ]",,Uncalibrated Accelerometer Data are collected from 15 participantes performing 7 activities.  The dataset provides challenges for identification and authentication of people using motion patterns.,,"Univariate, Sequential, Time-Series ",   --- The dataset collects data from a wearable accelerometer mounted on the chest   --- Sampling frequency of the accelerometer: 52 Hz   --- Accelerometer Data are Uncalibrated   --- Number of Participants: 15   --- Number of Activities: 7   --- Data Format: CSV,,,Other,, , ,,61999,,The dataset collects data from a wearable accelerometer mounted on the chest. The dataset is intended for Activity Recognition research purposes.,Activity Recognition from Single Chest-Mounted Accelerometer,https://archive.ics.uci.edu/ml/datasets/Activity+Recognition+from+Single+Chest-Mounted+Accelerometer,2014
276,[Classification ],,"This dataset was created by Pedro F. B. Silva and AndrÃ© R. S. MarÃ§al using leaf specimens collected by Rubim Almeida da Silva at the Faculty of Science, University of Porto, Portugal.",,Multivariate ,"For further details on this dataset and/or its attributes, please read the 'ReadMe.pdf' file included and/or consult the Master's Thesis 'Development of a System for Automatic Plant Species Recognition' available at [Web Link].",,,Computer,,16,340,,67783,,This dataset consists in a collection of shape and texture features extracted from digital images of leaf specimens originating from a total of 40 different plant species.,Leaf,https://archive.ics.uci.edu/ml/datasets/Leaf,2014
277,"[Classification,  Clustering ]",,"Muhammad Usman & Adeel Ahmed, usman.madspot '@' gmail.com adeel.ahmed92 '@' gmail.com, Air University, Students at Air University.",,Text ,"Style,	Price,	Rating,	Size,	Season,	NeckLine,	SleeveLength,	waiseline,	Material,	FabricType,	Decoration,	Pattern, Type,	Recommendation are Attributes in dataset.",,,Computer,,13,501,,65921,,This dataset contain Attributes of dresses and their recommendations according to their sales.Sales are monitor on the basis of alternate days. ,Dresses_Attribute_Sales,https://archive.ics.uci.edu/ml/datasets/Dresses_Attribute_Sales,2014
278,"[Classification,  Regression,  Clustering ]",,"K.Kalyani ,kkalyanims '@' gmail.com,T.U.K Arts College,Karanthai,Thanjavur.",,Multivariate ,"Collect the real time readings for residential,commercial,industrial,agriculure,to find the accuracy consumption in Tamil Nadu Around Thanajvur",,,Life,,5,45781,,45410,,This data can be effectively produced the result to fewer parameter of the Load profile can be reduced in the Database  ,Tamilnadu Electricity Board Hourly Readings,https://archive.ics.uci.edu/ml/datasets/Tamilnadu+Electricity+Board+Hourly+Readings,2013
279,[Regression ],,"Provide the names, email addresses, institutions, and other contact information of the donors and creators of the data set.Donor: Dr Roberto Lopezrobertolopez '@' intelnics.com Intelnics  Creators:Thomas F. Brooks, D. Stuart Pope and Michael A. MarcoliniNASA",,Multivariate ,The NASA data set comprises different size NACA 0012 airfoils at various wind tunnel speeds and angles of attack. The span of the airfoil and the observer position were the same in all of the experiments. ,,,Physical,,6,1503,,64555,,"NASA data set, obtained from a series of aerodynamic and acoustic tests of two and three-dimensional airfoil blade sections conducted in an anechoic wind tunnel.",Airfoil Self-Noise,https://archive.ics.uci.edu/ml/datasets/Airfoil+Self-Noise,2014
280,"[Classification,  Clustering ]",,"Margarida G. M. S. Cardoso, margarida.cardoso '@' iscte.pt, ISCTE-IUL, Lisbon, Portugal",,Multivariate ,Provide all relevant information about your data set.,,,Business,,8,440,,185947,,The data set refers to clients of a wholesale distributor. It includes the annual spending in monetary units (m.u.) on diverse product categories,Wholesale customers,https://archive.ics.uci.edu/ml/datasets/Wholesale+customers,2014
281,[Classification ],,"N. A. Abdulla, naabdulla11 '@' cit.just.edu.jo",,Text ," --- By using a tweet crawler, we collect 2000 labelled tweets (1000 positive tweets and 1000 negative ones)       on various topics such as: politics and arts. These tweets include opinions written in both       Modern Standard Arabic (MSA) and the Jordanian dialect.    --- The selected tweets convey some kind of feelings (positive or negative) and the objective of our model is        to extract valuable information from such tweets in order to determine the sentiment orientation of the inputted text.       The months-long annotation process of the tweets is manually conducted mainly by two human experts       (native speakers of Arabic). If both experts agree on the label of a certain tweet, then the tweet is assigned this label.       Otherwise, a third expert is consulted to break the tie.     --- Predicted attribute: class of opinion polarity.",,,Social,,2,2000,,56949,,This problem of Sentiment Analysis (SA) has been studied well on the English language but not Arabic one. Two main approaches have been devised: corpus-based and lexicon-based. ,Twitter Data set for Arabic Sentiment Analysis,https://archive.ics.uci.edu/ml/datasets/Twitter+Data+set+for+Arabic+Sentiment+Analysis,2014
282,[Regression ],,"Pınar Tüfekci, Çorlu Faculty of Engineering, Namık Kemal University, TR-59860 Çorlu, Tekirdağ, TurkeyEmail: ptufekci '@' nku.edu.trHeysem Kaya, Department of Computer Engineering, Boğaziçi University, TR-34342, Beşiktaş, İstanbul, TurkeyEmail: heysem '@' boun.edu.tr",,Multivariate ,"The dataset contains 9568 data points collected from a Combined Cycle Power Plant over 6 years (2006-2011), when the power plant was set to work with full load. Features consist of hourly average ambient variables Temperature (T), Ambient Pressure (AP), Relative Humidity (RH) and Exhaust Vacuum (V) to predict the net hourly electrical energy output (EP)  of the plant.A combined cycle power plant (CCPP) is composed of gas turbines (GT), steam turbines (ST) and heat recovery steam generators. In a CCPP, the electricity is generated by gas and steam turbines, which are combined in one cycle, and is transferred from one turbine to another. While the Vacuum is colected from and has effect on the Steam Turbine, he other three of the ambient variables effect the GT performance.For comparability with our baseline studies, and to allow 5x2 fold statistical tests be carried out, we provide the data shuffled five times. For each shuffling 2-fold CV is carried out and the resulting 10 measurements are used for statistical testing.We provide the data both in .ods and in .xlsx formats.",,,Computer,,4,9568,,68821,,"The dataset contains 9568 data points collected from a Combined Cycle Power Plant over 6 years (2006-2011), when the plant was set to work with full load. ",Combined Cycle Power Plant,https://archive.ics.uci.edu/ml/datasets/Combined+Cycle+Power+Plant,2014
283,[Classification ],,"Brian Johnson; Institute for Global Environmental Strategies; 2108-11 Kamiyamaguchi, Hayama, Kanagawa,240-0115 Japan; Email: Johnson '@' iges.or.jp ",,Multivariate ,"Contains training and testing data for classifying a high resolution aerial image into 9 types of urban land cover. Multi-scale spectral, size, shape, and texture information are used for classification. There are a low number of training samples for each class (14-30) and a high number of classification variables (148), so it may be an interesting data set for testing feature selection methods. The testing data set is from a random sampling of the image. Class is the target classification variable. The land cover classes are: trees, grass, soil, concrete, asphalt, buildings, cars, pools, shadows.",,,Physical,,148,168,,29045,,Classification of urban land cover using high resolution aerial imagery. Intended to assist sustainable urban planning efforts.,Urban Land Cover,https://archive.ics.uci.edu/ml/datasets/Urban+Land+Cover,2014
