,Anonymised Labels ,Author,Column Name,Column Type,Description,File Type,Image Dimension,Keywords,License,No Columns,No Rows,Number of Downloads,Number of views,Size,Summary,Title,Updated,Url
1020,,Department of Commerce,,,The program provides estimates of the number of housing units for states and counties.,HTML,,"[estimates, fastest-growing, houses, housing-unit, housing-unit-change]",U.S. Government Work,,,17,17,,,Housing Unit Estimates,2014-05-01,https://catalog.data.gov/dataset/housing-unit-estimates
1021,,U.S. Department of Health & Human Services,,,MEDPAR files contain information on Medicare beneficiaries using hospital inpatient services. The data is provided by the state and the Diagnosis Related Groups (DRG) for all short stay and inpatient hospitals for the fiscal years of 2005-2007.,,,"[diagnosis-related-g..., operating-costs, short-stay-hospital...]",See this page for license information.,,,17,17,,,Medicare Provider Analysis and Review (MEDPAR),2016-08-04,https://catalog.data.gov/dataset/medicare-provider-analysis-and-review-medpar-abf7b
1022,,Department of Homeland Security,,,Total Illegal Alien Apprehensions By Month From FY 1999 through FY 2014,HTML,,"[apprehension-booking, eabm, enforce, enforcement-case-tr..., iafis, ident, inspection-nseers, state-department, tecs]",No license information was provided. If this work was prepared by an officer or employee of the United States government as part of that person's official duties it is considered a U.S. Government Work.,,,17,17,,,U.S. Border Patrol Fiscal Year Monthly Apprehension Statistics,2016-04-15,https://catalog.data.gov/dataset/u-s-border-patrol-fiscal-year-monthly-apprehension-statistics
1023,,U.S. Department of Health & Human Services,,,This file includes data for states that are implementing their own Marketplaces also known as State-Based Marketplaces or SBMs and states with Marketplaces that are supported by or fully run by the federal government including those run in partnership with states also known as the Federally-Facilitated Marketplace or FFM. Includes demographic characteristics and plan selected (by metal level). Please refer to the full report listed under Resources.,XLS,,"[affordable-care-act, aspe, chip, coverage, demographic, enrollment, federal, financial-assistanc..., insurance, marketplace, medicaid, metal-level, methodology, plan, state]",See this page for license information.,,,17,17,,,Health Insurance Marketplace: Summary Enrollment Data for the Initial Annual Open Enrollment Period,2016-04-05,https://catalog.data.gov/dataset/health-insurance-marketplace-summary-enrollment-data-for-the-initial-annual-open-enrollmen
1024,,Department of Energy,,,GIS data for offshore wind speed (meters/second).  Specified to Exclusive Economic Zones (EEZ).  Wind resource based on NOAA blended sea winds and monthly wind speed at 30km resolution using a 0.11 wind sheer to extrapolate 10m - 90m.  Annual average >= 10 months of data no nulls.,ZIP,,"[gis, global, noaa, nrel, offshore, wind, wind-speed]",Creative Commons Attribution,,,17,17,,,NREL Global Offshore Wind GIS Data,2015-08-21T20:49:36Z,https://catalog.data.gov/dataset/nrel-global-offshore-wind-gis-data-97d23
1025,,"US Census Bureau, Department of Commerce",,,The 2015 TIGER Geodatabases are extracts of selected nation based and state based geographic and cartographic information from the                        U.S. Census Bureau's Master Address File/Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) database. The geodatabases                        include feature class layers of information for the fifty states the District of Columbia Puerto Rico and the Island areas (American Samoa the                         Commonwealth of the Northern Mariana Islands Guam and the United States Virgin Islands). The geodatabases do not contain any sensitive data. The                         2015 TIGER Geodatabases are designed for use with Esri’s ArcGIS.                  The School Districts Geodatabase contains multiple nation based layers reflecting school district boundaries. These are the School District                  –Elementary School District–SecondarySchool District–Unified and State layers.                  School Districts are single-purpose administrative units within which local officials provide public educational services for the area's residents.                 The Census Bureau obtains the boundaries names local education agency codes grade ranges and school district levels for school districts from                 State officials for the primary purpose of providing the U.S. Department of Education with estimates of the number of children in poverty within                 each school district.  This information serves as the basis for the Department of Education to determine the annual allocation of Title I funding to                 States and school districts. TIGER/Line Shapefiles include separate shapefiles for elementary secondary and unified school districts. The school                 district boundaries are those in effect for the 2013-2014 school year.                  States and equivalent entities are the primary governmental divisions of the United States.,ZIP,,"[states, state or equivalent..., states and equivale..., polygon, u.s., secondary school di..., nation, boundaries, unified school dist..., elementary school d..., school district, united states]",U.S. Government Work,,,17,17,,,2015 School Districts Geodatabase,,https://catalog.data.gov/dataset/2015-school-districts-geodatabase
1026,,Department of Commerce,,,Special Database 19 contains NIST's entire corpus of training materials for handprinted document and character recognition. It publishes Handprinted Sample Forms from 3600 writers 810000 character images isolated from their forms ground truth classifications for those images reference forms for further data collection and software utilities for image management and handling. there are two editions of the databases.  One is the original database with the images in mis or pct format.  It also includes software to open and manipulate the data. The second edition has the images all in PNG format.,ZIP,,"[automated-data-capture, character-recognition, characters, hand-printed-charac..., hand-prints, hand-writing-recogn..., handprints, ocr, printed-characters, recognition, software-recognition]",See this page for license information.,,,17,17,,,NIST Handprinted Forms and Characters - NIST Special Database 19,2016-08-18,https://catalog.data.gov/dataset/nist-handprinted-forms-and-characters-nist-special-database-19
1027,,Department of the Interior,,,This data product contains avian habitat data collected on the Seward Peninsula Alaska USA during 21 May [HTML_REMOVED] 10 June 2012. We conducted replicated 10-min surveys at 111 points located along 9 transects occurring over gradients of physical and biotic habitat conditions and recorded observations of individual birds identified to species. Survey points or sites were located approximately 500 m apart and observations of birds were limited to a maximum distance of 250 m to prevent double counting. We visited each survey site 2[HTML_REMOVED]3 times and assumed community closure within the survey period. Mean interval ([HTML_REMOVED][HTML_REMOVED]SD) between site-specific surveys was 5.8 [HTML_REMOVED][HTML_REMOVED] 2.4 days. We measured 13 vegetative characteristics at 10 subsampling points associated with each bird survey location during 26 June [HTML_REMOVED] 11 July 2012. Five subsampling plots were located along each of two 20-m transects with random orientation (0[HTML_REMOVED]359 degrees). One transect originated at the bird survey point and the other at a point selected randomly within 250 m of the bird survey point. At each subsampling point we estimated overlapping coverages within six vegetation classes including alder (Alnus spp.) dwarf birch (Betula spp.) ericaceous shrubs (e.g. Empetrum Vaccinium spp.) herbaceous lichen (e.g. Cladonia spp.) and willow (Salix spp.) using a 0.5-m2 quadrat frame and recorded the height of the tallest plant of each type within the sampling frame. We recorded visual obstruction (VOR) an index of vegetation of height and density at each subsampling point measured from a distance of 2 m and at a height of 0.5 m. Analyses of these data are published in McNew L. B. and C. M. Handel. 2015. Evaluating species richness biased ecological inference results from spatial heterogeneity in species detection probabilities. Ecological Applications 25 in press. http//dx.doi.org/10.1890/14-1248.1,CSV,,"[terrestrial ecosystems, biology, vegetation survey, biosphere, climate change, seward peninsula, animals/vertebrates, community ecology, biological producti..., birds, species richness, biota, alaska, shrubland/shrubs, alpine/tundra, perching birds, avian abundance, community structure]",No license information was provided. If this work was prepared by an officer or employee of the United States government as part of that person's official duties it is considered a U.S. Government Work.,,,17,17,,,"Avian Habitat Data; Seward Peninsula, Alaska, 2012",,https://catalog.data.gov/dataset/avian-habitat-data-seward-peninsula-alaska-2012
1028,,U.S. Environmental Protection Agency,,,The Smart Location Database (SLD) summarizes over 80 demographic built environment transit service and destination accessibility attributes for every census block group in the United States. Future updates to the SLD will include additional attributes which summarize the relative location efficiency of a block group when compared to other block groups within the same metropolitan region. EPA also plans to periodically update attributes and add new attributes to reflect latest available data. A log of SLD updates is included in the SLD User Guide. See the user guide for a full description of data sources data currency and known limitations https//edg.epa.gov/data/Public/OP/SLD/SLD_userguide.pdf,ZIP,,"[environment, united states, land, transportation, human]",U.S. Government Work,,,17,17,,,Smart Location Database - Download,,https://catalog.data.gov/dataset/smart-location-database-download
1029,,State of Arkansas,,,This dataset contains polygons and attributes which represent the voting precincts for the counties in the State of Arkansas. It includes the precinct name or number assigned by each County Election Commission following the redistricting process. The data was generated following the release of the 2010 Census data and was finalized in 2012. During the redistricting process a number of administrative boundaries were redrawn. The voting precincts include mulitpart polygons that are not contiguous in some counties. The compilation of this data is an effort of the Secretary of State to aid in election administration and future redistricting.,HTML,,"[boundaries, district, legislator, legislative, government]",No license information was provided.,,,17,17,,,Election Precincts,,https://catalog.data.gov/dataset/election-precincts
1030,,"US Census Bureau, Department of Commerce",,,"The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the                                     U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB).                                     The MTDB represents a seamless national file with no overlaps or gaps between parts however each TIGER/Line shapefile is designed to                                     stand alone as an independent data set or they can be combined to cover the entire nation.                               Linear Water Features includes single-line drainage water features and artificial path features that run through double-line drainage                              features such as rivers and streams and serve as a linear representation of these features.  The artificial path features may                              correspond to those in the USGS National Hydrographic Dataset (NHD).  However in many cases the features do not match NHD equivalent                              feature and will not carry the NHD metadata codes.  These features have a MAF/TIGER Feature Classification Code (MTFCC) beginning with                              an ""H"" to indicate the super class of Hydrographic Features.",HTML,,"[hydrography, county or equivalen..., u.s., linear feature, rivers, united states, streams]",U.S. Government Work,,,17,17,,,"TIGER/Line Shapefile, 2016, Series Information for the Linear Hydrography County-based Shapefile",,https://catalog.data.gov/dataset/tiger-line-shapefile-2016-series-information-for-the-linear-hydrography-county-based-shapefile
1031,,"National Oceanic and Atmospheric Administration, Department of Commerce",,,Various shipping zones delineate activities and regulations for marine vessel traffic. Traffic lanes define specific traffic flow while traffic separation zones assist opposing streams of marine traffic. Precautionary areas represent areas where ships must navigate with caution and shipping safety fairways designate where artificial structures are prohibited. Recommended Routes are predetermined routes for shipping adopted for reasons of safety. Along certain zones of the East Coast of the United States ships are also required to report vessel location within designated endangered species areas such as the North Atlantic right whale. Particularly Sensitive Sea Areas need special protection because of their vulnerability to damage by international maritime activities. Areas to be Avoided are within defined limits where navigation is particularly hazardous or it is exceptionally important to avoid casualties and should be avoided by all ships or certain classes of ships.,ZIP,,"[separation zone, pssa, northern right whale, precautionary area, national, particularly sensit..., marine boundaries, shipping, mandatory ship repo..., atba, regulation, recommended routes, atlantic, pacific, restricted area, gulf of mexico, area to be avoided, shipping safety fai..., ports, united states, traffic lane]",U.S. Government Work,,,17,17,,,"Shipping Fairways, Lanes, and Zones for US waters as of June 2013",,https://catalog.data.gov/dataset/shipping-fairways-lanes-and-zones-for-us-waters-as-of-june-201368a02
1032,,Department of Education,,,The Private School Universe Survey 2015-16 (PSS 2015-16) is a study that is part of the Private School Universe program. PSS 2015-16 (https//nces.ed.gov/surveys/pss/) is a cross-sectional survey that collects data on private elementary and secondary schools including religious orientation level of school length of school year length of school day total enrollment (K-12) race/ethnicity of students number of high school graduates number of teachers employed program emphasis and existence and type of kindergarten program. The study will be conducted using mail questionnaires an internet response option and telephone and personal follow-up of all private schools in the United States. The PSS universe consists of a diverse population of schools. It includes both schools with a religious orientation (e.g. Catholic Lutheran or Jewish) and nonsectarian schools with programs ranging from regular to special emphasis and special education. Key statistics produced from PSS 2015-16 are on the number of private schools students and teachers the number of high school graduates the length of the school year and school day.,HTML,,"[church-related-schools, non-sectarian-schools, private-school-enro..., private-school-grad..., private-schools]",Creative Commons CCZero,,,17,17,,,"Private School Universe Survey, 2015-16",2017-04-01,https://catalog.data.gov/dataset/private-school-universe-survey-2015-16
1033,,"Earth Data Analysis Center, University of New Mexico",,,"A linear ""event"" mapped vector dataset representing the traffic count data for 2011.    Mapped by route and mile point.",HTML,,"[traffic count, nm]",No license information was provided.,,,17,17,,,NM traffic count data for 2011,,https://catalog.data.gov/dataset/nm-traffic-count-data-for-2011
1034,,National Archives and Records Administration,,,The Electronic Code of Federal Regulations (e-CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. The Electronic Code of Federal Regulations is updated daily. The Electronic Code of Federal Regulations and its accompanying XML data is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions of the annual Code of Federal Regulations have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes which may produce anomalies in display. In addition the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Regulations or the daily Federal Register on FDsys.gov.,XML,,"[cfr, code-of-federal-reg..., directives, fdsys, government-printing..., gpo, guidelines, nara, national-archives-a..., office-of-the-feder..., ofr, regs, regulation, regulations, rule-makings, xml]",No license information was provided. If this work was prepared by an officer or employee of the United States government as part of that person's official duties it is considered a U.S. Government Work.,,,17,17,,,Electronic Code of Federal Regulations,2016-05-27,https://catalog.data.gov/dataset/electronic-code-of-federal-regulations
1035,,Small Business Administration,,,These files include a loan level list of all 7(a) and 504 loans approved since January 1 1990 as well as the corresponding Data Dictionary. SBA 7(a) and 504 Loan Data Dictionary Monthly Report of SBA 7(a) and 504 Loan Data1990 - 1999 SBA 7a Loan Data  2000 - Present SBA 7(a) Loan Data and 1990 - Present SBA 504 Loan Data.,HTML,,"[504-loan-data-reports, 7a, loan-data-report, sba]",U.S. Government Work,,,17,17,,,SBA 7a and 504 Loan Data Reports,2016-06-22,https://catalog.data.gov/dataset/sba-7a-and-504-loan-data-reports
1036,,"National Oceanic and Atmospheric Administration, Department of Commerce",,,Records of past temperature precipitation atmospheric trace gases and other aspects of climate and environment derived from ice cores drilled on glaciers and ice caps around the world. Parameter keywords describe what was measured in this data set. Additional summary information can be found in the abstracts of papers listed in the data set citations. For details please see http//www.ncdc.noaa.gov/paleo/icecore.html,XML,,"[mineralogy, paleo start date -8..., tropics, younger dryas, doc/noaa/nesdis/ncdc, global, national centers fo..., nesdis, noaa, u.s. department of ..., doc/noaa/nesdis/ncei, dansgard oeschger c..., paleo stop date -53..., earth science, abrupt climate change, paleo stop date 200..., carbon cycle, hydrogen isotopes, pages arctic 2k, pages lotred 2k, little ice age (lia), ice core, pages antarctica 2k, paleoclimate, carbon isotopes, westerlies, reconstruction, glacial, decadal resolution, instrumental data, atmospheric gas, meridional overturn..., biogeochemical cycles, pages africa 2k, climate indicators, national climatic d..., nesdis, noaa, u.s. department of ..., arctic, last interglacial, radiogenic isotopes, physical properties, paleo start date 80..., age control, geographic region, ice core records, pages 2k network, paleoclimate indica..., borehole measurements, oxygen isotopes, nitrogen isotopes, arctic oscillation ..., temperature, monsoon, chemistry, accumulation, last glacial maximum]",U.S. Government Work,,,17,17,,,Ice Cores,,https://catalog.data.gov/dataset/ice-cores
1037,,"National Oceanic and Atmospheric Administration, Department of Commerce",,,"NOAA's National Climatic Data Center is now producing the Regional Snowfall Index (RSI) for significant snowstorms that impact the eastern two thirds of the U.S. The RSI ranks snowstorm impacts on a scale from 1 to 5 similar to the Fujita scale for tornadoes or the Saffir-Simpson scale for hurricanes. NCDC has analyzed and assigned RSI values to over 500 storms going as far back as 1900. New storms are added operationally. As such RSI puts the regional impacts of snowstorms into a century-scale historical perspective. The RSI differs from other indices because it includes population. RSI is based on the spatial extent of the storm the amount of snowfall and the juxtaposition of these elements with population. The area and population are cumulative values above regional specific thresholds. For example the thresholds for the Southeast are 2"" 5"" 10"" and 15"" of snowfall while the thresholds for the Northeast are 4"" 10"" 20"" and 30"" of snowfall. Population information ties the index to societal impacts. Currently the index uses population based on the 2000 Census. The RSI is an evolution of the Northeast Snowfall Impact Scale (NESIS) which NCDC began producing operationally in 2005. While NESIS was developed for storms that had a major impact in the Northeast it includes the impact of snow on other regions as well. It can be thought of as a quasi-national index that is calibrated to Northeast snowstorms. By contrast the RSI is a regional index; a separate index is produced for each of the six NCDC climate regions in the eastern two-thirds of the nation. The indices are calculated in a similar fashion to NESIS but our experience has led us to propose a change in the methodology. The new indices require region-specific parameters and thresholds for the calculations. For details on how RSI is calculated see Squires et al. 2011.",XML,,"[terrestrial hydrosp..., atmosphere, national centers fo..., nesdis, noaa, u.s. department of ..., vertical location, snow depth, doc/noaa/nesdis/ncdc, united states of am..., snow, north america, meteorological hazards, land surface, solid precipitation, national climatic d..., nesdis, noaa, u.s. department of ..., doc/noaa/nesdis/ncei, snow/ice, natural hazards, precipitation, continent, human dimensions, earth science]",U.S. Government Work,,,17,17,,,Regional Snowfall Index (RSI),,https://catalog.data.gov/dataset/regional-snowfall-index-rsi
1038,,U.S. Environmental Protection Agency,,,NAVTEQ Administrative Area Boundaries 4 (City Boundaries) for Region 9. There are five Administrative Area Boundaries layers (1 2 3 4 5). These layers contain the boundaries that divide countries into administrative areas such as country state county city or settlement. These designations vary on a country by country basis. (In the US for example the AdminBndy2 layer contains State boundaries the AdminBndy3 layer contains County boundaries and the AdminBndy4 layer contains City boundaries.) See Administrative Level Coding and Boundary Features in the NAVSTREETS manual for a list of the administrative area types by country. This layer is used for map visualisation. Note that an Administrative Area Boundary is represented by multiple region objects when it has names in multiple languages. This dataset is a subset of the full NAVTEQ NAVSTREETS database.,"ESRI Shape File and supplemental documentation packaged as sets of .tar and .tar.gz compressed coverage area folders. For data packaging and delivery, these NAVTEQ coverage areas are organized using 3 world areas including: Americas, Asia Pacific (APAC), and Europe, Middle East, Africa (EMEA).",,"[boundaries, states, provinces, nations, navigation, countries, political boundaries, settlements, location, roadmap, united states, routing, towns, cities, geocoding, counties, navteq]",U.S. Government Work,,,17,17,,,"Administrative Area Boundaries 4 (City Boundaries), Region 9, 2010, NAVTEQ",,https://catalog.data.gov/dataset/administrative-area-boundaries-4-city-boundaries-region-9-2010-navteq
1039,,Department of Education,,,Provides recipient and disbursement information each quarter for the Federal Pell Academic Competitiveness National SMART and Teach Grant Programs by postsecondary school.,,,"[academic-competitiv..., college, federal-pell-grant, financial-aid, national-science-an..., postsecondary-educa..., teach-grant, title-iv-programs, university]",Creative Commons CCZero,,,17,17,,,Grant Program Data for Federal Student Aid,2014-04-10,https://catalog.data.gov/dataset/grant-program-data-for-federal-student-aid
1040,,Department of Transportation,,,PRISM is the official system for procurement processing for the Agency. PRISM supports the entire procurement life-cycle and generates and maintains procurement documentation. PRISM interfaces with the Agency's accounting system Delphi. It also provides information to Federal Procurement Data System.,,,"[acquisition-event, acquisition-event-item, acquisition-event-i..., acquisition-event-i..., acquisition-event-i..., acquisition-event-i..., acquisition-event-i..., acquisition-event-p..., acquisition-event-p..., acquisition-event-r..., acquisition-event-type, invoice, invoice-status-rela..., invoice-status-type]",See this page for license information.,,,17,17,,,Procurement Information System for Management (PRISM) -,2015-02-25,https://catalog.data.gov/dataset/procurement-information-system-for-management-prism
1041,,Department of Veterans Affairs,,,The Veteran Health Administration in support of the Open Data Initiative is providing the Veterans Affairs Suicide Prevention Synthetic Dataset (VASPSD). The VASPSD was developed using a real record-level dataset provided through the VA Office of Suicide Prevention. The VASPSD contains no real Veteran information however it reflects similar characteristics of the real dataset.,XLSX,,"[suicide-prevention, synthetic-data, veterans, vha]",Creative Commons CCZero,,,17,17,,,Veterans Affairs Suicide Prevention Synthetic Dataset Metadata,2014-11-04,https://catalog.data.gov/dataset/veterans-affairs-suicide-prevention-synthetic-dataset-metadata
1042,,OpenTopography,,,"The ALOS Global Digital Surface Model (AW3D30) is a global dataset generated from images collected using the Panchromatic Remote-sensing  Instrument for Stereo Mapping (PRISM) aboard the Advanced Land Observing Satellite (ALOS) from 2006 to 2011. As described by the Japan Aerospace Exploration Agency The Japan Aerospace Exploration Agency (JAXA) releases the global digital surface model (DSM) dataset with a horizontal resolution of approx. 30-meter mesh (1 arcsec) free of charge. The dataset has been compiled with images acquired by the Advanced Land Observing Satellite ""DAICHI"" (ALOS). The dataset is published based on the DSM dataset (5-meter mesh version) of the ""World 3D Topographic Data"" which is the most precise global-scale elevation data at this time and its elevation precision is also at a world-leading level as a 30-meter mesh version. This dataset is expected to be useful for scientific research education as well as the private service sector that uses geospatial information.    Version May 2016 Global terrestrial region (within approx. 82 deg. of N/S latitudes) of Version 1 released (approx. 22100 tiles)  Note JAXA provides two versions of AW3D30 created from the original 5-meter mesh using different downsampling methods average (provided here) and median (not available from OpenTopography).",HTML,,[],No license information was provided.,,,17,17,,,ALOS World 3D - 30m,,https://catalog.data.gov/dataset/alos-world-3d-30m
1043,,Department of Veterans Affairs,,,The National Item File (NIF) is used to uniquely identify products used in the supply chain. The Universal Product Number is placed as a bar code on products to enable users of the products to readily identify the product's characteristics.,,,"[bar-code, item, product, supply-chain, unique, va, veteran]",Creative Commons CCZero,,,17,17,,,National Item File (NIF),2013-12-30,https://catalog.data.gov/dataset/national-item-file-nif
1044,,Department of Transportation,,,Airport and Navigation Aids Database System is the repository of aeronautical data related to airports runways lighting NAVAID and their components obstacles no transgression zones monitors etc.  As it related to the development and maintenance of instrument flight procedures.,,,"[aeronautical, airport, flight, maintenance, navaid, navigation, procedures]",See this page for license information.,,,17,17,,,Airports and Navigation Aids Database System -,2015-02-09,https://catalog.data.gov/dataset/airports-and-navigation-aids-database-system
1045,,Department of Energy,,,Open Energy Information (OpenEI) is a knowledge-sharing online community dedicated to connecting people with the latest information and data on energy resources from around the world. Created in partnership with the United States Department of Energy and federal laboratories across the nation OpenEI offers access to real-time data and unique visualizations that will help you find the answers you need to make better more informed decisions with structured linked open data and information in widely-used formats such as API CSV XML and XLS. OpenEI is making a profound impact on the world’s energy transformation by providing data access generative data use key knowledge derivation tools and synthetic datasets that will help inform policy purchase build and business decisions. This community-based platform is a core competency for the U.S. Department of Energy and its laboratories providing a high-degree of value for building knowledge and datasets connecting and structuring data via linked open data standards and serving as the place for the world to contribute and utilize energy data APIs and web-services.  OpenEI is the backbone to the DOE Data Catalog and federates all DOE-sponsored data upwards to Data.gov in order to enable data transparency and access.,HTML,,"[buildings, clean, ecomomy, energy, geothermal, incentive, natural-gas, oil, policy, renewable, smart-grid, solar, utilities, utility-rates, water-power, wind]",Creative Commons CCZero,,,17,17,,,Open Energy Information (OpenEI.org),2015-04-23T18:35:02Z,https://catalog.data.gov/dataset/open-energy-information-openei-org-b0eac
1046,,"National Oceanic and Atmospheric Administration, Department of Commerce",,,Visible and infrared imagery from DMSP Operational Linescan System (OLS) instruments are used to monitor the global distribution of clouds and cloud top temperatures twice each day. The archive data set consists of low resolution global and high resolution regional imagery recorded along a 3000 km scan satellite ephemeris and solar and lunar information. Infrared pixel values correspond to a temperature range of 190 to 310 Kelvins in 256 equally spaced steps. Onboard calibration is performed during each scan. Visible pixels are relative values ranging from 0 to 63 rather than absolute values in Watts per m^2. Instrumental gain levels are adjusted to maintain constant cloud reference values under varying conditions of solar and lunar illumination. Telescope pixel values are replaced by Photo Multiplier Tube (PMT) values at night. A telescope pixel is 0.55 km at high resolution (fine mode) and 2.7 km at low resolution(smooth mode). Low resolution                   values are the mean of the appropriate 25 high resolution values.,HTML,,"[clouds, atmosphere, proton flux, ecological dynamics, ionosphere/magnetos..., meteorological sate..., particle density, electron flux, national centers fo..., nesdis, noaa, u.s. department of ..., doc/noaa/nesdis/ncei, particle temperature, surface water, visible wavelengths, ocean winds, dmsp, particle speed, microwave, icsu-wds, atmospheric tempera..., earth science, brightness temperature, hydrosphere, global, infrared wavelengths, oceans, lakes, rivers/streams, water vapor, precipitation, sea ice, sun-earth interactions, spectral/engineering, satellite meteorology, biosphere, doc/noaa/nesdis/ngdc, global change, fire occurrence, snow/ice, atmospheric water v..., international counc..., polar orbiters, national geophysica..., nesdis, noaa, u.s. department of ...]",U.S. Government Work,,,17,17,,,DMSP OLS - Operational Linescan System,,https://catalog.data.gov/dataset/dmsp-ols-operational-linescan-system
1047,,Department of Transportation,,,Contains tables of data for the United States Canada and Mexico.  Data tables are divided up into 12 categories including a country overview transportation flows safety environment trade and infrastructure,HTML,,"[demographics, domestic-freight, domestic-travel, economy, energy, environment, freight, infrastructure, international-freight, international-travel, passenger-travel, safety, transportation, vehicles]",U.S. Government Work,,,17,17,,,North American Transportation Statistics Database,2015-08-10,https://catalog.data.gov/dataset/north-american-transportation-statistics-database-data-mining-tool-dace8
1048,,Department of Energy,,,CREST is an economic cash flow model designed to allow policymakers regulators and the renewable energy community to assess project economics design cost-based incentives (e.g. feed-in tariffs) and evaluate the impact of various state and federal support structures. CREST is a suite of four analytic tools for solar (photovoltaic and solar thermal) wind geothermal and anaerobic digestion technologies. It is also used by project managers to do preliminary back-of-the-envelope calculations of the year one cost of energy for renewable energy projects.,XLSX,,"[anaerobic-digestion, cash-flow, cost-model, fit, geothermal, geothermal-energy, lcoe, npv, pro-forma, renewable-energy, solar, solar-energy, wind, wind-energy]",Creative Commons CCZero,,,17,17,,,Cost of Renewable Energy Spreadsheet Tool (CREST),2015-08-21T20:46:32Z,https://catalog.data.gov/dataset/cost-of-renewable-energy-spreadsheet-tool-crest-7dcb4
1049,,Department of the Interior,,,The USGS compiles online access to water-resources data collected at approximately 1.5 million sites in all 50 States the District of Columbia Puerto Rico the Virgin Islands Guam American Samoa and the Commonwealth of the Northern Mariana Islands.,USGS Groundwater Data for the Nation,,"[site information, rhode island, nevada, maine, current water condi..., wyoming, minnesota, real-time water data, puerto rico, maryland, current groundwater..., texas, iowa, michigan, utah, virginia, united staes, water flow, hawaii, district of columbia, groundwater, missouri, ohio, time-series data, ground water, water data, oklahoma, delaware, virgin islands, arkansas, groundwater data, arizona, wisconsin, water levels, daily groundwater data, california, new mexico, gaging stations, hydrology, florida, alaska, colorado, water table, guam, washington, annual groundwater ..., tennessee, water statistics, mississippi, south dakota, new jersey, north carolina, monthly groundwater..., new york, indiana, louisiana, water information, field samples, national water info..., oregon, hydrologic unit, connecticut, georgia, american samoa, kentucky, active water monito..., nebraska, new hampshire, south carolina, north dakota, historical groundwa..., annual groundwater ..., water level, nwis, illinois, idaho, monthly groundwater..., kansas, montana, massachusetts, daily groundwater s..., vermont, ground-water, pennsylvania, inland waters, west virginia, alabama]",No license information was provided. If this work was prepared by an officer or employee of the United States government as part of that person's official duties it is considered a U.S. Government Work.,,,17,17,,,USGS Groundwater Data for the Nation - National Water Information System (NWIS),,https://catalog.data.gov/dataset/usgs-groundwater-data-for-the-nation-national-water-information-system-nwis
1050,,Department of Agriculture,,,Grain Transportation Report Table 3 Rail Deliveries to Port,XLS,,"[barge, carload, domestic, export, fuel-surcharge, grain, grain-inspections, international, ocean-freight, ocean-vessel, port-region, railcar-auction, railroad, shipment, shuttle-train, truck, unit-train]",Creative Commons Attribution,,,17,17,,,Grain Transportation Report: Rail Deliveries to Port,2014-12-23,https://catalog.data.gov/dataset/grain-transportation-report-table-3
1051,,City of New York,,,List of Civil Service title codes and title descriptions used by City of New York agencies,CSV,,"[civil, civil-service, service, title]",No license information was provided.,,,17,17,,,NYC Civil Service Titles,2017-11-01,https://catalog.data.gov/dataset/nyc-civil-service-titles-b62ad
1052,,Allegheny County / City of Pittsburgh / Western PA Regional Data Center,,,"Obesity rates for each Census Tract in Allegheny County were produced for the study “Developing small-area predictions for smoking and obesity prevalence in the United States."" The data is not explicitly based on population surveys or data collection conducted in Allegheny County but rather estimated using statistical modeling techniques. In this technique researchers applied the obesity rate of a demographically similar census tract to one in Allegheny County to compute an obesity rate.",CSV,,"[achd-dash, obesity, social-determinants...]",See this page for license information.,,,17,17,,,Allegheny County Obesity Rates,2017-04-07T18:13:38.255746,https://catalog.data.gov/dataset/allegheny-county-obesity-rates
1053,,City of Chicago,,,Population estimates by the U.S. Census Bureau by U.S. Census Block.,CSV,,"[census, population]",No license information was provided.,,,17,17,,,Population by 2010 Census Block,2014-10-28,https://catalog.data.gov/dataset/population-by-2010-census-block-72436
1054,,Department of Agriculture,,,Most SNAP participants who can work do work.  SNAP rules require all recipients meet work requirements unless they are exempt because of age or disability or another specific reason. Children seniors and those with disabilities comprise almost two-thirds of all SNAP participants.  Among households that include someone who is able to work more than 75 percent* had a job  in year before or after receiving SNAP.  Forty-three percent of SNAP participants live in a household with earnings.  Some of these working individuals are ABAWDs or able-bodied adults without dependents.  ABAWDs must meet special work requirements in addition to the general work requirements to maintain their eligibility.  An ABAWD is a person between the ages of 18 and 49 who has no dependents and is not disabled.  ABAWD stands for Able Bodied Adult Without Dependents.,PDF,,"[abawd, fns, rules, snap]",Creative Commons CCZero,,,17,17,,,Able-Bodied Adults Without Dependents (ABAWDs)  rules,2016-01-14,https://catalog.data.gov/dataset/able-bodied-adults-without-dependents-abawds-rules
